"id","title","amount of children","num of people lives with","age","time living the same address","time in job","telephone","num of bank loans","num finished loans","income","EC-card holders","salary","salary+ec-cards","credit risk","running loans","region","requested cash","type of business","resident type","nationality","profession","transport","credit cards","good/bad"
"1","H","0","2","24","30","27","1","0","0","1900","0","2500","2","3","0","0","2500","Furniture,Carpet","Owner","German","Others","Car","no credit cards","0"
"2","H","0","2","37","3","72","2","0","0","0","1","0","1","3","0","0","700","Dept. Store,Mail","Lease","German","Others","Car","Cheque card","0"
"3","H","0","2","23","6","30","1","0","1","2300","0","2500","2","1","5","0","7000","Furniture,Carpet","Lease","German","Others","Car","no credit cards","0"
"4","R","2","4","39","9","30","2","2","1","2200","0","2500","2","1","2","0","4000","Furniture,Carpet","Lease","German","Civil Service, M","Car","no credit cards","1"
"5","R","3","5","28","0","168","1","0","0","1700","0","2500","2","1","1","0","4000","Furniture,Carpet","Lease","German","Civil Service, M","Without Vehicle","no credit cards","1"
"6","H","0","2","22","3","84","2","0","1","2500","0","2500","2","1","1","8","1100","Cars","Lease","German","Others","Car","no credit cards","1"
"7","R","0","2","31","36","144","2","0","1","2000","0","2500","2","1","1","2","2000","Furniture,Carpet","Lease","German","Others","Without Vehicle","no credit cards","1"
"8","R","0","2","28","36","33","2","0","0","3500","0","100000","4","1","4","7","15000","Furniture,Carpet","Owner","German","Others","Car","no credit cards","1"
"9","H","0","2","23","168","84","2","0","0","2400","0","2500","2","1","1","7","1300","Leisure","Lease","German","Others","Car","no credit cards","0"
"10","R","0","2","23","9","9","2","0","0","1900","0","2500","2","3","0","4","8000","Cars","Lease","Turkish","Others","Car","no credit cards","1"
"11","H","1","3","41","18","216","2","0","1","2200","0","2500","2","1","1","2","10000","Cars","Owner","German","Others","Car and Motor bi","no credit cards","0"
"12","H","1","3","53","120","84","2","0","0","5000","0","100000","4","1","1","6","20000","Furniture,Carpet","Owner","German","Others","Car","no credit cards","0"
"13","R","0","2","29","9","54","2","2","1","1800","0","2500","2","1","2","2","500","Furniture,Carpet","Lease","German","Others","Without Vehicle","no credit cards","1"
"14","H","1","3","29","18","18","2","2","0","1700","0","2500","2","1","2","2","15000","Cars","Lease","German","Food,Building,Ca","Car and Motor bi","no credit cards","0"
"15","H","0","2","25","12","27","2","2","1","5000","0","100000","4","1","1","2","900","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","1"
"16","H","1","2","44","108","42","2","0","1","0","1","0","1","1","2","0","800","Radio, TV, Hifi","Lease","German","Civil Service, M","Car","Cheque card","0"
"17","R","0","1","54","9","108","2","0","0","1700","0","2500","2","3","0","0","800","Dept. Store,Mail","Lease","German","Civil Service, M","Without Vehicle","no credit cards","0"
"18","R","0","1","46","144","30","1","0","0","1500","0","2500","2","3","0","0","900","Radio, TV, Hifi","Lease","German","Others","Without Vehicle","no credit cards","1"
"19","H","4","5","35","60","12","1","0","0","0","1","0","1","1","2","0","1000","Dept. Store,Mail","Lease","German","Others","Car","Cheque card","0"
"20","H","2","3","38","168","27","1","0","0","3400","0","100000","4","1","2","0","700","Radio, TV, Hifi","Lease","German","Others","Car","no credit cards","1"
"21","H","2","3","36","21","216","2","0","1","0","1","0","1","3","0","0","600","Radio, TV, Hifi","Lease","German","Civil Service, M","Car","Cheque card","0"
"22","H","1","2","43","42","144","1","0","0","2500","0","2500","2","3","0","0","1300","Leisure","Lease","German","Others","Without Vehicle","no credit cards","1"
"23","R","2","3","29","30","144","1","0","0","2400","0","2500","2","1","2","0","4000","Furniture,Carpet","Lease","German","Civil Service, M","Car","no credit cards","1"
"24","R","1","2","40","240","60","1","0","0","0","1","0","1","1","1","0","2500","Furniture,Carpet","Lease","German","Civil Service, M","Car","Cheque card","0"
